activity_id,hcp_id,activity_date,sales_rep_id,channel,topic,duration_minutes,engagement_score,sentiment,sample_dropped,follow_up_requested
ACT0000073,HCP0103,2024-01-27,REP001,Phone,New indication,31,61.2,Neutral,False,True
ACT0000074,HCP0031,2025-08-08,REP007,In-person,Patient access,11,83.2,Neutral,False,False
ACT0000075,HCP0108,2025-08-16,REP008,Conference,New indication,50,84.2,Positive,True,False
ACT0000076,HCP0033,2024-12-29,REP011,Phone,Adherence support,49,59.4,Neutral,False,False
ACT0000077,HCP0107,2025-11-19,REP013,Email,Clinical evidence,3,50.4,Positive,False,True
ACT0000078,HCP0107,2024-05-06,REP019,In-person,Patient access,26,71.5,Positive,False,True
ACT0000079,HCP0091,2025-03-24,REP007,In-person,New indication,21,70.2,Negative,True,False
ACT0000080,HCP0030,2025-09-28,REP009,Phone,Prior authorization,33,34.0,Negative,False,True
ACT0000081,HCP0120,2024-10-06,REP004,Email,Adherence support,1,70.6,Neutral,False,False
ACT0000082,HCP0099,2024-07-10,REP001,Email,Adherence support,3,50.0,Positive,False,False
ACT0000083,HCP0112,2025-02-05,REP007,Phone,Prior authorization,17,27.7,Positive,False,True
ACT0000084,HCP0078,2025-02-08,REP016,In-person,Adherence support,24,73.9,Neutral,False,False
ACT0000085,HCP0117,2025-09-26,REP010,Phone,Adherence support,51,41.8,Positive,False,True
ACT0000086,HCP0020,2024-09-09,REP006,Email,Patient access,6,91.8,Neutral,False,True
ACT0000087,HCP0054,2024-03-02,REP008,In-person,New indication,10,81.7,Positive,False,False
ACT0000088,HCP0007,2025-09-01,REP025,Email,Prior authorization,3,70.9,Negative,False,False
ACT0000089,HCP0031,2024-02-10,REP025,Conference,New indication,45,93.8,Positive,True,False
ACT0000090,HCP0003,2024-05-13,REP015,In-person,Dosing discussion,22,85.3,Positive,False,False
ACT0000091,HCP0125,2025-09-01,REP025,In-person,Dosing discussion,47,48.1,Positive,False,False
ACT0000092,HCP0021,2025-06-18,REP025,Phone,Dosing discussion,42,86.3,Positive,False,True
ACT0000093,HCP0018,2024-05-02,REP016,Email,Prior authorization,3,52.3,Positive,False,False
ACT0000094,HCP0011,2024-03-27,REP020,Phone,Dosing discussion,52,84.4,Neutral,True,False
ACT0000095,HCP0073,2025-05-29,REP002,In-person,Patient access,38,57.6,Neutral,False,False
ACT0000096,HCP0119,2025-04-05,REP005,Email,New indication,3,40.8,Neutral,False,True
ACT0000097,HCP0087,2025-10-30,REP002,Phone,New indication,32,74.5,Neutral,True,False
ACT0000098,HCP0104,2024-12-21,REP019,Email,Patient access,6,56.4,Negative,False,False
ACT0000099,HCP0045,2024-06-25,REP018,In-person,Adherence support,36,87.6,Positive,False,False
ACT0000100,HCP0020,2024-02-07,REP012,Conference,Dosing discussion,12,92.1,Neutral,True,False
ACT0000101,HCP0035,2025-11-15,REP017,In-person,Patient access,16,31.4,Positive,False,False
ACT0000102,HCP0091,2024-03-15,REP023,Conference,Patient access,29,66.0,Neutral,True,True
ACT0000103,HCP0019,2025-08-14,REP005,In-person,Dosing discussion,16,79.0,Neutral,False,True
ACT0000104,HCP0063,2025-04-01,REP018,In-person,New indication,16,68.5,Neutral,True,False
ACT0000105,HCP0006,2025-05-15,REP023,In-person,New indication,45,68.9,Positive,True,True
ACT0000106,HCP0014,2025-03-25,REP019,Video,Dosing discussion,10,71.4,Positive,False,True
ACT0000107,HCP0123,2025-01-24,REP018,Email,Patient access,3,34.0,Neutral,False,True
ACT0000108,HCP0051,2025-05-04,REP019,Phone,Patient access,43,98.0,Negative,False,False
ACT0000109,HCP0055,2024-06-11,REP006,Video,Dosing discussion,51,79.2,Neutral,False,False
ACT0000110,HCP0038,2025-11-26,REP006,In-person,Patient access,27,53.0,Positive,False,True
ACT0000111,HCP0037,2025-03-01,REP023,Phone,Prior authorization,20,51.0,Positive,False,False
ACT0000112,HCP0087,2024-05-27,REP007,In-person,Prior authorization,41,83.3,Positive,True,False
ACT0000113,HCP0024,2024-02-03,REP019,Phone,Patient access,21,71.2,Positive,False,True
ACT0000114,HCP0065,2025-06-22,REP012,In-person,New indication,13,73.3,Positive,False,False
ACT0000115,HCP0029,2024-10-27,REP023,In-person,Patient access,31,77.1,Positive,False,False
ACT0000116,HCP0006,2025-08-02,REP008,In-person,Prior authorization,21,70.6,Neutral,False,False
ACT0000117,HCP0066,2025-04-14,REP023,Email,Patient access,3,28.4,Positive,False,False
ACT0000118,HCP0023,2025-11-23,REP023,In-person,Adherence support,37,57.8,Positive,False,False
ACT0000119,HCP0031,2025-10-11,REP001,In-person,Prior authorization,42,77.2,Positive,False,False
ACT0000120,HCP0104,2025-07-01,REP017,Email,Clinical evidence,3,78.9,Neutral,False,False
ACT0000121,HCP0034,2024-05-22,REP014,In-person,Prior authorization,15,56.5,Positive,False,False
ACT0000122,HCP0081,2025-05-22,REP012,In-person,New indication,45,65.3,Neutral,False,False
ACT0000123,HCP0124,2024-01-31,REP003,Email,New indication,2,89.3,Positive,False,True
ACT0000124,HCP0051,2024-05-17,REP017,Conference,Patient access,17,94.1,Positive,False,False
ACT0000125,HCP0075,2024-01-03,REP009,Video,Adherence support,12,72.6,Neutral,True,False
ACT0000126,HCP0014,2025-10-10,REP014,Video,Prior authorization,15,83.8,Positive,False,False
ACT0000127,HCP0013,2025-08-19,REP008,Email,New indication,2,73.1,Neutral,False,False
ACT0000128,HCP0094,2024-09-10,REP022,In-person,Prior authorization,41,80.1,Positive,False,False
ACT0000129,HCP0095,2024-09-21,REP013,Email,Dosing discussion,4,65.8,Neutral,True,True
ACT0000130,HCP0034,2024-08-16,REP012,Email,Dosing discussion,5,54.0,Positive,True,False
ACT0000131,HCP0010,2024-03-26,REP022,In-person,New indication,32,100.0,Positive,False,True
ACT0000132,HCP0041,2024-08-09,REP003,Conference,New indication,25,100.0,Neutral,False,False
ACT0000133,HCP0040,2025-08-10,REP004,Video,Adherence support,53,66.6,Negative,False,True
ACT0000134,HCP0044,2024-03-21,REP005,Email,New indication,6,73.9,Positive,False,False
ACT0000135,HCP0043,2024-03-13,REP012,Phone,Dosing discussion,39,69.4,Neutral,False,True
ACT0000136,HCP0114,2024-06-20,REP003,Email,Prior authorization,6,67.1,Positive,False,False
ACT0000137,HCP0087,2025-02-11,REP022,Conference,Clinical evidence,33,67.9,Neutral,False,True
ACT0000138,HCP0020,2025-10-22,REP017,In-person,Patient access,37,89.5,Negative,False,True
ACT0000139,HCP0010,2025-04-18,REP012,In-person,Patient access,38,44.6,Positive,False,False
ACT0000140,HCP0118,2024-08-21,REP009,Email,Adherence support,4,53.8,Negative,False,False
ACT0000141,HCP0073,2025-10-21,REP007,Phone,Patient access,42,84.7,Negative,False,False
ACT0000142,HCP0026,2024-12-23,REP025,In-person,Clinical evidence,46,69.7,Neutral,False,False
ACT0000143,HCP0067,2024-11-12,REP015,Phone,Adherence support,52,91.9,Positive,False,True
ACT0000144,HCP0026,2025-12-01,REP011,Email,Prior authorization,2,68.2,Neutral,False,False
ACT0000145,HCP0042,2025-05-11,REP001,In-person,New indication,14,73.9,Positive,False,False
ACT0000146,HCP0046,2025-02-15,REP006,Phone,Clinical evidence,49,62.7,Positive,False,False
ACT0000147,HCP0061,2024-01-11,REP012,Phone,Prior authorization,41,93.9,Positive,False,False
ACT0000148,HCP0087,2024-06-22,REP012,In-person,Adherence support,14,84.2,Neutral,False,False
ACT0000149,HCP0059,2025-01-15,REP014,In-person,Prior authorization,8,44.3,Neutral,False,False
ACT0000150,HCP0020,2025-03-14,REP003,In-person,Prior authorization,26,79.3,Positive,False,False
ACT0000151,HCP0122,2024-11-20,REP006,In-person,Adherence support,8,87.5,Positive,False,False
ACT0000152,HCP0037,2024-11-25,REP010,In-person,Clinical evidence,42,66.2,Positive,False,False
ACT0000153,HCP0084,2024-08-05,REP007,Email,New indication,2,80.8,Neutral,False,False
ACT0000154,HCP0052,2024-01-04,REP004,Conference,Prior authorization,29,92.9,Neutral,False,False
ACT0000155,HCP0037,2025-11-03,REP003,Phone,Patient access,34,64.9,Positive,False,True
ACT0000156,HCP0075,2024-03-27,REP022,Video,Patient access,40,73.7,Positive,False,False
ACT0000157,HCP0100,2025-04-26,REP023,Phone,Prior authorization,45,57.3,Positive,False,False
ACT0000158,HCP0060,2025-04-25,REP021,Email,Dosing discussion,1,77.6,Neutral,False,False
ACT0000159,HCP0057,2025-02-17,REP002,Phone,Patient access,25,48.1,Positive,False,False
ACT0000160,HCP0071,2025-05-15,REP018,Conference,Clinical evidence,27,80.3,Neutral,False,False
ACT0000161,HCP0013,2024-04-05,REP023,Email,Adherence support,4,97.7,Neutral,True,False
ACT0000162,HCP0023,2024-09-24,REP004,Email,New indication,1,49.4,Neutral,False,False
ACT0000163,HCP0018,2025-05-12,REP024,Phone,Dosing discussion,38,93.8,Positive,False,False
ACT0000164,HCP0044,2025-02-28,REP018,Video,New indication,44,66.7,Neutral,True,True
ACT0000165,HCP0071,2024-11-30,REP015,Conference,Clinical evidence,32,54.6,Positive,False,False
ACT0000166,HCP0069,2024-06-26,REP004,In-person,Adherence support,18,63.3,Neutral,False,False
ACT0000167,HCP0021,2025-05-27,REP023,In-person,Patient access,22,68.1,Neutral,False,True
ACT0000168,HCP0085,2024-01-11,REP025,Conference,Patient access,30,59.6,Positive,False,False
ACT0000169,HCP0105,2025-06-22,REP014,Email,Dosing discussion,6,90.3,Positive,False,False
ACT0000170,HCP0101,2025-08-15,REP014,In-person,Adherence support,51,62.1,Positive,True,True
ACT0000171,HCP0021,2025-08-24,REP001,In-person,Dosing discussion,33,73.9,Negative,True,False
ACT0000172,HCP0042,2025-01-26,REP003,Email,Patient access,1,100.0,Positive,True,True
ACT0000173,HCP0047,2024-11-21,REP007,Video,Patient access,17,64.1,Positive,False,False
ACT0000174,HCP0016,2024-05-09,REP002,In-person,Prior authorization,19,57.8,Positive,True,False
ACT0000175,HCP0070,2025-10-02,REP025,In-person,New indication,42,60.0,Positive,False,False
ACT0000176,HCP0114,2025-06-09,REP011,In-person,Dosing discussion,27,89.8,Neutral,False,True
ACT0000177,HCP0125,2024-09-24,REP021,Video,Patient access,36,65.6,Positive,False,False
ACT0000178,HCP0060,2024-09-24,REP009,Video,Dosing discussion,26,72.7,Positive,False,False
ACT0000179,HCP0006,2025-04-29,REP025,Email,Adherence support,1,53.4,Neutral,True,True
ACT0000180,HCP0102,2024-05-31,REP015,Phone,Adherence support,25,61.4,Positive,False,False
ACT0000181,HCP0080,2024-09-18,REP011,Email,New indication,5,86.6,Positive,False,True
ACT0000182,HCP0103,2025-03-23,REP001,Email,Dosing discussion,4,38.1,Positive,False,False
ACT0000183,HCP0063,2025-10-14,REP006,Video,Prior authorization,20,31.8,Neutral,False,False
ACT0000184,HCP0080,2025-10-14,REP007,Email,Adherence support,4,57.2,Negative,False,False
ACT0000185,HCP0057,2024-11-05,REP007,Email,Prior authorization,1,59.2,Neutral,False,False
ACT0000186,HCP0031,2025-01-28,REP008,Conference,Prior authorization,31,61.8,Neutral,False,False
ACT0000187,HCP0030,2024-06-02,REP021,In-person,Patient access,29,62.3,Neutral,False,False
ACT0000188,HCP0097,2024-05-02,REP018,Email,Dosing discussion,3,67.4,Positive,True,True
ACT0000189,HCP0001,2025-12-20,REP006,Conference,Clinical evidence,14,58.9,Negative,False,False
ACT0000190,HCP0107,2024-01-25,REP013,In-person,Prior authorization,53,94.3,Negative,False,False
ACT0000191,HCP0101,2024-08-08,REP016,Phone,New indication,39,83.6,Neutral,False,False
ACT0000192,HCP0095,2025-04-03,REP021,Phone,Patient access,15,64.7,Neutral,False,True
ACT0000193,HCP0095,2025-10-26,REP023,Video,Adherence support,20,85.3,Neutral,False,True
ACT0000194,HCP0106,2025-07-01,REP010,Email,Dosing discussion,5,15.3,Neutral,False,False
ACT0000195,HCP0014,2025-09-05,REP021,Email,Prior authorization,6,73.8,Neutral,False,False
ACT0000196,HCP0063,2024-01-18,REP006,Email,Prior authorization,5,84.2,Positive,False,False
ACT0000197,HCP0069,2025-01-27,REP011,Phone,Adherence support,9,55.8,Neutral,True,False
ACT0000198,HCP0063,2024-10-08,REP008,In-person,Adherence support,46,77.7,Positive,True,True
ACT0000199,HCP0043,2024-07-27,REP010,In-person,Adherence support,14,54.4,Negative,False,False
ACT0000200,HCP0109,2025-02-14,REP005,In-person,Dosing discussion,37,73.8,Positive,False,False
ACT0000201,HCP0014,2024-02-20,REP015,Conference,Dosing discussion,54,40.9,Neutral,False,True
ACT0000202,HCP0047,2024-07-30,REP022,Video,Prior authorization,9,85.1,Positive,False,False
ACT0000203,HCP0058,2024-07-04,REP011,In-person,Patient access,52,67.1,Neutral,True,True
ACT0000204,HCP0023,2024-09-09,REP008,In-person,Adherence support,10,71.7,Neutral,False,False
ACT0000205,HCP0001,2025-10-10,REP007,Phone,New indication,10,65.6,Neutral,False,False
ACT0000206,HCP0104,2025-04-04,REP013,Email,Prior authorization,1,88.8,Neutral,False,False
ACT0000207,HCP0059,2024-07-26,REP003,In-person,Patient access,25,72.1,Neutral,True,False
ACT0000208,HCP0005,2025-09-20,REP006,In-person,Dosing discussion,19,85.9,Neutral,False,False
ACT0000209,HCP0018,2024-06-19,REP008,Email,Adherence support,4,56.2,Positive,False,False
ACT0000210,HCP0035,2025-11-29,REP015,Email,Adherence support,3,78.4,Negative,False,False
ACT0000211,HCP0045,2024-02-11,REP004,Email,Patient access,4,98.5,Neutral,False,False
ACT0000212,HCP0036,2025-10-20,REP023,In-person,New indication,44,99.4,Positive,False,True
ACT0000213,HCP0048,2025-01-13,REP002,Phone,Prior authorization,48,15.9,Neutral,True,False
ACT0000214,HCP0031,2024-06-23,REP020,Email,Dosing discussion,6,70.3,Neutral,False,True
ACT0000215,HCP0010,2025-02-02,REP023,In-person,Clinical evidence,32,37.5,Neutral,False,False
ACT0000216,HCP0124,2025-08-02,REP025,In-person,Clinical evidence,27,59.3,Positive,False,False
ACT0000217,HCP0078,2025-05-17,REP017,Phone,Patient access,45,56.1,Positive,False,False
ACT0000218,HCP0025,2025-12-22,REP022,Email,New indication,4,79.1,Neutral,True,False
ACT0000219,HCP0064,2025-09-25,REP025,In-person,Dosing discussion,39,64.2,Positive,False,True
ACT0000220,HCP0051,2024-07-13,REP008,Phone,Prior authorization,54,52.2,Neutral,False,True
ACT0000221,HCP0083,2024-03-17,REP019,Phone,Prior authorization,45,77.6,Neutral,False,False
ACT0000222,HCP0064,2025-05-24,REP003,Video,Clinical evidence,44,46.2,Positive,True,True
ACT0000223,HCP0104,2024-09-29,REP019,Conference,Dosing discussion,24,51.5,Positive,False,False
ACT0000224,HCP0018,2025-02-17,REP019,Phone,Prior authorization,44,59.3,Neutral,False,False
ACT0000225,HCP0041,2025-03-25,REP012,Phone,Prior authorization,54,63.0,Neutral,False,True
ACT0000226,HCP0073,2024-03-05,REP004,Email,New indication,3,70.5,Positive,False,False
ACT0000227,HCP0064,2024-05-19,REP016,Conference,Dosing discussion,26,70.8,Neutral,False,False
ACT0000228,HCP0048,2025-09-08,REP003,Email,Patient access,6,54.5,Positive,True,False
ACT0000229,HCP0098,2024-07-17,REP003,In-person,Dosing discussion,9,71.7,Positive,False,False
ACT0000230,HCP0048,2024-10-03,REP015,Phone,Clinical evidence,22,68.5,Positive,False,False
ACT0000231,HCP0045,2025-08-04,REP017,In-person,Adherence support,44,67.0,Positive,False,False
ACT0000232,HCP0060,2024-06-16,REP010,In-person,Dosing discussion,12,36.1,Positive,True,False
ACT0000233,HCP0070,2024-01-26,REP017,Email,Adherence support,1,75.8,Positive,False,False
ACT0000234,HCP0023,2024-12-24,REP017,Email,Adherence support,5,78.3,Negative,False,True
ACT0000235,HCP0071,2025-10-15,REP013,Phone,Patient access,12,81.6,Neutral,False,False
ACT0000236,HCP0033,2025-01-26,REP015,Phone,Adherence support,35,69.4,Positive,False,False
ACT0000237,HCP0033,2025-07-27,REP017,Phone,Prior authorization,40,87.7,Positive,False,False
ACT0000238,HCP0080,2025-02-06,REP017,Conference,New indication,9,76.0,Positive,True,True
ACT0000239,HCP0067,2024-08-25,REP021,In-person,Clinical evidence,44,58.1,Positive,False,True
ACT0000240,HCP0116,2025-09-28,REP016,In-person,Patient access,14,65.1,Neutral,False,False
ACT0000241,HCP0031,2024-09-10,REP011,Conference,Patient access,37,54.8,Neutral,False,True
ACT0000242,HCP0063,2024-07-03,REP006,Email,Patient access,2,46.5,Negative,False,False
ACT0000243,HCP0019,2024-06-26,REP009,In-person,Patient access,19,80.3,Positive,False,True
ACT0000244,HCP0046,2024-07-03,REP012,Email,Prior authorization,1,61.1,Positive,False,True
ACT0000245,HCP0100,2024-01-06,REP008,Email,Adherence support,5,80.1,Neutral,False,False
ACT0000246,HCP0064,2025-09-27,REP001,Email,Clinical evidence,3,100.0,Neutral,True,False
ACT0000247,HCP0108,2025-05-31,REP022,Email,New indication,1,87.1,Neutral,False,False
ACT0000248,HCP0082,2024-02-19,REP018,Video,Adherence support,49,47.0,Positive,False,True
ACT0000249,HCP0101,2025-08-04,REP025,Email,Adherence support,6,54.9,Positive,False,False
ACT0000250,HCP0017,2025-08-01,REP023,Email,Prior authorization,2,77.6,Positive,True,False
ACT0000251,HCP0078,2024-05-14,REP021,Video,Patient access,10,74.6,Positive,False,True
ACT0000252,HCP0110,2024-07-18,REP024,In-person,Patient access,43,92.7,Neutral,False,True
ACT0000253,HCP0010,2024-10-18,REP018,In-person,Adherence support,48,58.9,Neutral,False,False
ACT0000254,HCP0017,2025-03-28,REP025,In-person,New indication,29,40.9,Negative,False,False
ACT0000255,HCP0067,2024-11-28,REP022,In-person,New indication,53,47.6,Positive,False,False
ACT0000256,HCP0097,2024-07-07,REP014,Phone,New indication,26,90.0,Positive,False,False
ACT0000257,HCP0119,2024-03-06,REP020,In-person,Clinical evidence,49,69.4,Neutral,True,True
ACT0000258,HCP0075,2025-11-19,REP014,Email,Adherence support,2,82.9,Positive,False,False
ACT0000259,HCP0114,2024-07-30,REP008,Conference,Patient access,27,59.5,Positive,False,True
ACT0000260,HCP0060,2025-07-29,REP004,Phone,New indication,42,51.6,Positive,False,False
ACT0000261,HCP0101,2024-07-30,REP007,Email,New indication,4,79.4,Positive,False,False
ACT0000262,HCP0017,2025-12-11,REP020,Conference,Prior authorization,33,39.7,Positive,False,True
ACT0000263,HCP0087,2025-09-18,REP022,In-person,Patient access,32,76.0,Positive,False,True
ACT0000264,HCP0038,2024-06-11,REP025,Phone,Dosing discussion,12,98.7,Neutral,False,True
ACT0000265,HCP0064,2024-03-18,REP022,Conference,Patient access,36,21.0,Neutral,False,True
ACT0000266,HCP0109,2025-06-23,REP003,In-person,Dosing discussion,8,47.4,Positive,False,True
ACT0000267,HCP0055,2024-06-21,REP008,Video,Adherence support,48,65.8,Positive,False,True
ACT0000268,HCP0011,2025-03-11,REP016,Phone,Patient access,25,56.9,Positive,False,False
ACT0000269,HCP0074,2024-11-28,REP007,Phone,Prior authorization,48,63.7,Neutral,False,False
ACT0000270,HCP0007,2024-12-24,REP007,Video,Patient access,23,100.0,Neutral,False,True
ACT0000271,HCP0060,2024-04-11,REP025,Conference,Prior authorization,22,53.1,Positive,False,False
ACT0000272,HCP0023,2024-03-02,REP021,In-person,Clinical evidence,38,61.9,Neutral,False,True
ACT0000273,HCP0052,2024-05-27,REP015,Phone,Prior authorization,13,46.4,Neutral,True,False
ACT0000274,HCP0086,2025-02-28,REP003,In-person,Dosing discussion,31,38.1,Positive,False,False
ACT0000275,HCP0075,2025-11-28,REP019,Phone,Dosing discussion,34,74.9,Negative,False,False
ACT0000276,HCP0029,2024-07-10,REP015,In-person,Prior authorization,20,33.7,Negative,False,False
ACT0000277,HCP0115,2025-09-26,REP002,In-person,Dosing discussion,9,40.0,Positive,False,False
ACT0000278,HCP0022,2025-02-26,REP019,Email,Clinical evidence,3,66.9,Neutral,True,False
ACT0000279,HCP0028,2024-04-03,REP013,Email,Adherence support,2,77.8,Positive,False,True
ACT0000280,HCP0084,2025-03-29,REP016,Conference,Patient access,44,48.7,Neutral,False,False
ACT0000281,HCP0017,2024-07-17,REP011,In-person,Dosing discussion,41,51.2,Positive,False,False
ACT0000282,HCP0123,2025-01-07,REP014,Conference,Clinical evidence,51,33.3,Positive,False,False
ACT0000283,HCP0020,2025-09-28,REP007,In-person,Adherence support,39,76.2,Neutral,False,False
ACT0000284,HCP0049,2025-09-08,REP009,Video,Prior authorization,13,66.7,Positive,False,True
ACT0000285,HCP0088,2024-09-13,REP008,Email,Dosing discussion,3,66.2,Negative,False,False
ACT0000286,HCP0095,2024-07-26,REP005,Phone,Prior authorization,38,39.8,Neutral,False,False
ACT0000287,HCP0109,2024-11-18,REP022,Conference,Prior authorization,42,82.2,Neutral,False,False
